Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-17.2,B,8,-23.0,B,8,77,B,8,891,B,8,330,B,8,4.1,B,8,-9900,?,0,77777,B,8,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-18.3,A,7,-21.7,A,7,75,A,7,891,A,7,340,A,7,3.6,A,7,32200,A,7,77777,A,7,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17.9,B,8,-19.2,B,8,73,B,8,890,B,8,350,B,8,2.4,B,8,-9900,?,0,77777,B,8,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-17.6,B,8,-19.1,B,8,71,B,8,890,B,8,350,B,8,1.2,B,8,-9900,?,0,77777,B,8,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-17.2,A,7,-21.7,A,7,69,A,7,890,A,7,0,A,7,0.0,A,7,32200,A,7,77777,A,7,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,0,B,8,-18.3,B,8,-20.4,B,8,70,B,8,889,B,8,0,B,8,0.0,B,8,-9900,?,0,77777,B,8,0.3,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,1,B,8,-19.5,B,8,-21.4,B,8,70,B,8,888,B,8,0,B,8,0.0,B,8,-9900,?,0,77777,B,8,0.3,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,A,7,1,A,7,-20.6,A,7,-24.4,A,7,71,A,7,887,A,7,0,A,7,0.0,A,7,96600,A,7,77777,A,7,0.3,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,09:00,31,861,23,1,13,144,1,9,12,1,13,0,1,13,0,1,9,0,1,13,0,1,21,5,B,8,2,B,8,-19.5,B,8,-21.4,B,8,73,B,8,887,B,8,0,B,8,0.0,B,8,-9900,?,0,77777,B,8,0.3,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,10:00,187,1415,95,1,13,454,1,9,35,1,13,9756,1,13,29107,1,9,5873,1,13,624,1,21,7,B,8,2,B,8,-18.3,B,8,-19.8,B,8,74,B,8,887,B,8,0,B,8,0.0,B,8,-9900,?,0,77777,B,8,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,11:00,325,1415,201,1,13,604,1,13,61,1,13,20521,1,13,48603,1,13,9300,1,13,1099,1,23,8,A,7,3,A,7,-17.2,A,7,-20.6,A,7,76,A,7,887,A,7,0,A,7,0.0,A,7,96600,A,7,77777,A,7,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,12:00,413,1415,203,1,18,362,1,18,96,1,18,21139,1,18,31719,1,18,11837,1,18,1791,1,31,9,B,8,5,B,8,-15.4,B,8,-17.4,B,8,71,B,8,886,B,8,50,B,8,0.9,B,8,-9900,?,0,77777,B,8,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,13:00,445,1415,221,1,18,238,1,18,146,1,18,23105,1,18,21804,1,18,16215,1,18,3063,1,31,9,B,8,6,B,8,-13.5,B,8,-16.6,B,8,66,B,8,885,B,8,110,B,8,1.7,B,8,-9900,?,0,77777,B,8,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,14:00,418,1415,197,1,9,142,1,9,155,1,13,21066,1,9,12780,1,9,17266,1,13,3464,1,18,10,A,7,8,A,7,-11.7,A,7,-17.8,A,7,61,A,7,884,A,7,160,A,7,2.6,A,7,96600,A,7,3050,A,7,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,15:00,336,1415,146,1,13,126,1,9,116,1,13,15643,1,13,10503,1,9,13135,1,13,2533,1,21,10,B,8,8,B,8,-11.7,B,8,-15.0,B,8,65,B,8,884,B,8,110,B,8,1.7,B,8,-9900,?,0,3050,B,8,0.4,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,16:00,203,1415,95,1,13,153,1,9,73,1,13,9753,1,13,9398,1,9,8396,1,13,1483,1,21,10,B,8,8,B,8,-11.7,B,8,-14.3,B,8,69,B,8,884,B,8,50,B,8,0.9,B,8,-9900,?,0,3050,B,8,0.5,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,17:00,42,979,27,1,13,22,1,9,25,1,13,2841,1,13,1158,1,9,2786,1,13,540,1,21,10,A,7,8,A,7,-11.7,A,7,-15.6,A,7,73,A,7,884,A,7,0,A,7,0.0,A,7,96600,A,7,3050,A,7,0.5,E,8,0.011,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,9,B,8,-11.1,B,8,-13.6,B,8,71,B,8,884,B,8,330,B,8,1.7,B,8,-9900,?,0,4573,B,8,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,9,B,8,-10.6,B,8,-13.4,B,8,69,B,8,884,B,8,310,B,8,3.5,B,8,-9900,?,0,6097,B,8,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.0,A,7,-15.0,A,7,67,A,7,884,A,7,280,A,7,5.2,A,7,32200,A,7,7620,A,7,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-9.4,B,8,-13.9,B,8,60,B,8,885,B,8,290,B,8,5.5,B,8,-9900,?,0,7620,B,8,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-8.9,B,8,-14.5,B,8,54,B,8,885,B,8,290,B,8,5.9,B,8,-9900,?,0,7620,B,8,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.3,A,7,-17.8,A,7,47,A,7,886,A,7,300,A,7,6.2,A,7,32200,A,7,7620,A,7,0.4,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1976,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-8.5,B,8,-13.4,B,8,57,B,8,886,B,8,300,B,8,5.9,B,8,-9900,?,0,5273,B,8,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-8.7,B,8,-11.5,B,8,67,B,8,886,B,8,300,B,8,5.5,B,8,-9900,?,0,2927,B,8,0.5,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.9,A,7,-12.2,A,7,77,A,7,886,A,7,300,A,7,5.2,A,7,32200,A,7,580,A,7,0.6,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-8.9,B,8,-9.5,B,8,78,B,8,886,B,8,310,B,8,5.5,B,8,-9900,?,0,700,B,8,0.6,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-8.9,B,8,-9.3,B,8,80,B,8,887,B,8,330,B,8,5.9,B,8,-9900,?,0,820,B,8,0.6,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.9,A,7,-11.7,A,7,81,A,7,887,A,7,340,A,7,6.2,A,7,32200,A,7,940,A,7,0.6,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/02/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-9.6,B,8,-10.0,B,8,82,B,8,888,B,8,340,B,8,6.7,B,8,-9900,?,0,940,B,8,0.6,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
